                                varietal                                | count 
 Pinot Noir                                                             |     2
 Nero di Troia                                                          |     4
 Beaujolais                                                             |     1
 Cabernet Merlot                                                        |     2
 Z                                                                      |     1
 Muscat Rosa                                                            |     1
 Schioppettino (Ribolla Nera)                                           |     1
 Reichensteiner                                                         |    13
 Musat Canelli                                                          |     1
 Pecorello                                                              |     1
 Grenache Syrah Mourvedre                                               |     1
 Pinot Noir Chardonnay Pinot Meunier                                    |     1
 Chenin Blanc Chardonnay                                                |     1
 Shiraz                                                                 |   202
 Touriga Nacional and Syrah                                             |     1
 Chardonelle                                                            |     5
 Saint Vincent                                                          |     1
 Zweigelt                                                               |    18
 Pinot Gris Gewurztraminer Riesling Muscat Sylvaner                     |     1
 Cabernet Franc Chardonnay                                              |     1
 Alvarinho                                                              |     3
 White Zinfandel                                                        |     7
 Kalterersee                                                            |     1
 Nerello Mascalese                                                      |    22
 Frontenac Noir                                                         |     1
 Barolo                                                                 |     4
 Blend                                                                  |     1
 Aurore                                                                 |     3
 Petit Syrah                                                            |     1
 Rare White Blend                                                       |     3
 Malvasia Blanc                                                         |     1
 Bianca                                                                 |     3
 Swenson                                                                |     3
 Erbaluce                                                               |     2
 Ruche di Castagnole                                                    |     3
 Bianchello                                                             |     1
 Sauvignon Blanc Sauvignon Gris                                         |     1
 Trousseau Gris                                                         |     3
 Cataratto                                                              |     1
 Primitivo di Manduria                                                  |     1
 Merlot Syrah Petite Sirah                                              |     1
 Lambrusco                                                              |    21
 Red Blend                                                              |   231
 Touriga Nacional Touriga Franca                                        |     2
 Pinot Meunier                                                          |    15
 Muscat Alexandria                                                      |     2
 Bacchus / Reichensteiner                                               |     1
 Carignane Grenache                                                     |     2
 Sancerre                                                               |     1
 Glera (Prosecco)                                                       |     5
 Gamay Zweigelt                                                         |     1
 Rutherford Cabernet Sauvignon                                          |     1
 Calona                                                                 |     1
 Columbard                                                              |     3
 Gamay Noir                                                             |    32
 Maria Gomes                                                            |     1
 Semillon Blanc                                                         |     1
 Ansonica (Inzolia)                                                     |     1
 Gala                                                                   |     1
 Siria                                                                  |     1
 Tempranillo valdepenas                                                 |     1
 Viognier Marsanne Rousanne                                             |     1
 Monastrell                                                             |    21
 Cabarnet Sauvignon                                                     |     1
 Alicante                                                               |     6
 Friulano                                                               |    30
 Golden Muscat                                                          |     1
 Marchal Foch                                                           |     2
 Tai Classico                                                           |     1
 Staghorm Sumac                                                         |     1
 Kardarka                                                               |     1
 Rolle                                                                  |     2
 Moscato di Alessandria                                                 |     1
 pinot noir                                                             |     2
 Carménère                                                              |     1
 Stover                                                                 |     1
 Cabernet Sauvignon. Zinfandel                                          |     1
 Cabernet Sauvignon Petite Verdot Petite Sirah Zinfandel Syrah          |     1
 Amarone                                                                |     1
 Sauvingon Blanc                                                        |     3
 White Blend                                                            |    93
 Gewurtztraminer                                                        |     2
 De Chaunac                                                             |    10
 Radiant Red                                                            |     1
 Mayolet                                                                |     1
 Semillon-Sauvignon Blanc Blend                                         |     1
 Rioja - Tempranillo                                                    |     1
 Verdejo                                                                |    16
 Moscato Canelli                                                        |     1
 Carmenere Reserva                                                      |     1
 Cabernet Franc Cabernet Sauvignon Merlot                               |     1
 Moscato d'Asti                                                         |     1
 Riesling Feinherb                                                      |     1
 Malbec                                                                 |   492
 Rossese Bianco                                                         |     1
 Cannonau                                                               |    18
 Geurztraminer                                                          |     1
 Freisa                                                                 |    15
 Cabernet Malbec                                                        |     1
 Vignoles                                                               |   141
 Pinot Noir Rose                                                        |     2
 Petite Arvine                                                          |     1
 Pinot Noir Precoce                                                     |     1
 St. Vincent                                                            |    18
 Villard Noir                                                           |     1
 Cabernet Sauvignon Shiraz Merlot                                       |     2
 Vermemtino                                                             |     1
 Chardonnay Chardonnay                                                  |     1
 Cabernet Sauvignon                                                     |  2076
 Grenache Blend                                                         |     2
 Cayuga White                                                           |    18
 Furmint                                                                |     3
 Giesenheim                                                             |     1
 Rkatsiteli                                                             |     6
 Perricone                                                              |     1
 Cornalin                                                               |     1
 Muscat Blanc a Petits Grains                                           |     1
 Carmenere Syrah Cabernet Sauvignon                                     |     1
 Terra                                                                  |     1
 Petite Sirah Syrah Petite Sirah Petit Verdot Cabernet Sauvignon Merlot |     1
 Ste-Croix                                                              |     1
 Red Wine with Chocolate Infusion                                       |     1
 Moscadello                                                             |     7
 Arneis blend                                                           |     1
 Muscat                                                                 |   316
 Southern Rhone White Blend                                             |     3
 Seyval Blanc                                                           |   146
 Southern Rhone Blend - Syrah/Cinsault/Mourvedre/Grenache               |     1
 Plum                                                                   |     2
 merlot                                                                 |     6
 Bordeaux Blend                                                         |    31
 Chandon                                                                |     1
 Cabernet Sauvignon Carmenere                                           |     1
 Muller-Thurgau                                                         |    14
 Cabernet Merlot Blend                                                  |     1
 Barbera D'Alba                                                         |     1
 Ruby Cabernet                                                          |     5
 Grasparossa                                                            |     1
 Leon Millet                                                            |     3
 Chancellor                                                             |    13
 Cabernet Cabernet Sauvignon                                            |     1
 Primivito                                                              |     2
 Rondinella Bianca Traminer Kerner Incrocio Manzoni                     |     1
 Vitovska                                                               |     2
 Cabernet Syrah                                                         |     1
 Valvin Muscat                                                          |     6
 Chardonnay (Fiano)                                                     |     1
 Riesling blend                                                         |     1
 SŽmillon-Sauvignon Blanc Blend                                         |     3
 Riesling Pinot Meunier                                                 |     1
 Ste. Croix                                                             |     1
 Grignolino                                                             |    21
 Grillo Chardonnay                                                      |     1
 Prairie star                                                           |     2
 Corvinone                                                              |     1
 Ugni Blanc                                                             |     1
 Red Muscadine                                                          |     1
 Symphony                                                               |    17
 Brut                                                                   |     2
 Concord Grapes                                                         |     1
 sauvignon Blanc                                                        |     3
 Malvasia Istriana                                                      |     3
 Gewurztraminer                                                         |   514
